,Age,Attrition,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpID,Gender,EmpJobInvolvement,EmpJobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,PerformanceRating,EmpRelationshipSatisfaction,StockOptionLevel,TotalWorkExperience,TrainingTime,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
20,24,No,Non-Travel,11,2,26,Female,4,2,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3
21,36,Yes,Travel_Rarely,9,4,27,Male,2,1,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3
22,34,No,Travel_Rarely,7,4,28,Female,3,3,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11
23,21,No,Travel_Rarely,15,2,30,Male,3,1,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0
24,34,Yes,Travel_Rarely,6,1,31,Male,3,1,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3
25,53,No,Travel_Rarely,5,3,32,Female,3,5,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8
26,32,Yes,Travel_Frequently,16,1,33,Female,1,1,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7
27,42,No,Travel_Rarely,8,4,35,Male,3,2,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2
28,44,No,Travel_Rarely,7,4,36,Female,2,3,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17
29,46,No,Travel_Rarely,2,4,38,Female,3,5,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1
30,33,No,Travel_Rarely,2,3,39,Male,3,1,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0
31,44,No,Travel_Rarely,10,4,40,Male,3,2,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3
32,30,No,Travel_Rarely,9,2,41,Male,2,1,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8
33,39,Yes,Travel_Rarely,5,3,42,Male,3,2,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0
34,24,Yes,Travel_Rarely,1,3,45,Male,3,1,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0
35,43,No,Travel_Rarely,2,2,46,Female,4,1,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4
36,50,Yes,Travel_Rarely,3,2,47,Male,2,1,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2
37,35,No,Travel_Rarely,2,3,49,Female,3,1,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2
38,36,No,Travel_Rarely,5,4,51,Female,2,1,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0
39,33,No,Travel_Frequently,1,3,52,Female,4,2,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3
40,35,No,Travel_Rarely,4,2,53,Male,3,1,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0
41,27,No,Travel_Rarely,2,4,54,Female,3,1,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0
42,26,Yes,Travel_Rarely,25,3,55,Male,1,1,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1
43,27,No,Travel_Frequently,8,3,56,Male,3,3,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7
44,30,No,Travel_Frequently,1,2,57,Female,3,2,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7
45,41,Yes,Travel_Rarely,12,3,58,Female,3,5,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8
46,34,No,Non-Travel,23,4,60,Male,3,2,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7
47,37,No,Travel_Rarely,19,2,61,Male,3,1,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0
48,46,No,Travel_Frequently,5,4,62,Male,3,2,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8
49,35,No,Travel_Rarely,8,1,63,Male,4,1,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1
50,48,Yes,Travel_Rarely,1,2,64,Male,2,3,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0
51,28,Yes,Travel_Rarely,5,4,65,Male,3,1,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2
52,44,No,Travel_Rarely,1,5,68,Female,3,2,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3
53,35,No,Non-Travel,11,2,70,Male,2,3,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3
54,26,No,Travel_Rarely,23,3,72,Female,2,2,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0
55,33,No,Travel_Frequently,1,2,73,Female,3,3,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
56,35,No,Travel_Frequently,18,5,74,Male,3,3,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8
57,35,No,Travel_Rarely,23,4,75,Female,3,1,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
58,31,No,Travel_Rarely,7,4,76,Male,3,2,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
59,37,No,Travel_Rarely,1,4,77,Male,2,2,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
60,32,No,Travel_Rarely,1,3,78,Male,3,2,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
61,38,No,Travel_Frequently,29,5,79,Female,3,2,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
62,50,No,Travel_Rarely,7,2,80,Female,2,5,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
63,59,No,Travel_Rarely,25,3,81,Female,3,3,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9
64,36,No,Travel_Rarely,8,3,83,Female,3,3,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
65,55,No,Travel_Rarely,8,3,84,Female,3,4,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
66,36,No,Travel_Frequently,11,3,85,Male,2,2,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
67,45,No,Travel_Rarely,7,3,86,Male,3,3,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
68,35,No,Travel_Frequently,1,3,88,Male,3,1,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
69,36,Yes,Travel_Rarely,9,3,90,Male,2,1,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
70,59,No,Travel_Frequently,1,1,91,Female,2,2,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3
71,29,No,Travel_Rarely,2,3,94,Male,3,1,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
72,31,No,Travel_Rarely,1,4,95,Male,3,1,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
73,32,No,Travel_Rarely,1,3,96,Male,3,2,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
74,36,No,Travel_Rarely,6,3,97,Female,4,1,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
75,31,No,Travel_Rarely,8,4,98,Female,3,2,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8
76,35,No,Travel_Rarely,1,4,100,Male,2,2,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8
77,45,No,Travel_Rarely,6,4,101,Male,3,3,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0
78,37,No,Travel_Rarely,7,4,102,Male,3,3,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2
79,46,No,Travel_Rarely,5,2,103,Male,3,2,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2
80,30,No,Travel_Rarely,1,1,104,Male,2,2,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0
81,35,No,Travel_Rarely,1,3,105,Male,2,1,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4
82,55,No,Travel_Rarely,1,2,106,Male,3,3,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0
83,38,No,Non-Travel,6,3,107,Female,1,2,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9
84,34,No,Travel_Rarely,1,2,110,Male,3,2,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3
85,56,No,Travel_Rarely,7,3,112,Male,1,3,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2
86,23,No,Travel_Rarely,2,1,113,Male,3,1,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0
87,51,No,Travel_Rarely,9,4,116,Male,3,1,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3
88,30,No,Travel_Rarely,2,3,117,Male,2,2,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8
89,46,Yes,Travel_Rarely,9,2,118,Male,2,3,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7
90,40,No,Travel_Frequently,1,4,119,Male,2,4,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11
91,51,No,Travel_Rarely,21,4,120,Male,3,2,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0
92,30,No,Travel_Rarely,4,2,121,Female,2,2,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7
93,46,No,Travel_Frequently,1,3,124,Male,2,3,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5
94,32,No,Travel_Rarely,6,4,125,Male,3,2,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7
95,54,No,Travel_Rarely,2,4,126,Female,3,3,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3
96,24,No,Travel_Rarely,3,2,128,Female,3,2,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2
97,28,No,Non-Travel,4,3,129,Male,3,2,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4
98,58,No,Travel_Rarely,10,4,131,Male,3,4,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8
99,44,No,Non-Travel,23,3,132,Male,3,2,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2
100,37,Yes,Travel_Rarely,6,4,133,Male,3,1,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2
101,32,No,Travel_Rarely,1,1,134,Male,3,1,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0
102,20,Yes,Travel_Frequently,6,3,137,Female,2,1,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0
103,34,No,Travel_Rarely,6,4,138,Female,3,2,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10
104,37,No,Non-Travel,2,2,139,Male,2,2,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0
105,59,No,Non-Travel,2,4,140,Female,2,5,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2
106,50,No,Travel_Frequently,1,3,141,Female,3,5,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7
107,25,Yes,Travel_Rarely,5,3,142,Male,2,2,3,Single,5744,1,Yes,11,3,4,0,6,1,3,6,4,0,3
108,25,No,Travel_Rarely,7,1,143,Male,2,1,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1
109,22,No,Travel_Rarely,15,3,144,Female,3,1,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0
110,51,No,Travel_Frequently,1,4,145,Female,2,3,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8
111,34,Yes,Travel_Frequently,7,3,147,Male,1,2,3,Single,6074,1,Yes,24,4,4,0,9,3,3,9,7,0,6
112,54,No,Non-Travel,26,3,148,Female,4,4,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4
113,24,No,Travel_Rarely,18,1,150,Male,3,1,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2
114,34,No,Travel_Rarely,6,4,151,Female,2,2,2,Divorced,4505,6,No,15,3,3,1,12,3,3,1,0,0,0
115,37,No,Travel_Rarely,3,3,152,Male,3,3,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3
116,34,No,Travel_Rarely,5,3,153,Female,2,3,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8
117,36,No,Travel_Frequently,11,2,154,Female,3,3,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8
118,36,No,Travel_Rarely,3,2,155,Female,3,1,4,Divorced,2835,5,No,22,4,1,1,7,2,3,1,0,0,0
119,43,No,Travel_Frequently,26,2,158,Male,3,4,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12
120,30,No,Travel_Frequently,23,3,159,Male,1,1,3,Divorced,2613,1,No,25,4,3,3,10,2,2,10,7,0,9
121,33,No,Non-Travel,22,2,160,Male,3,2,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7
122,56,Yes,Travel_Rarely,14,4,161,Female,3,1,2,Married,4963,9,Yes,18,3,1,3,7,2,3,5,4,4,3
123,51,No,Travel_Rarely,6,3,162,Male,3,5,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15
124,31,Yes,Travel_Rarely,6,4,163,Male,1,2,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7
125,26,No,Travel_Rarely,6,3,164,Female,2,1,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3
126,58,Yes,Travel_Rarely,23,4,165,Female,3,3,4,Married,10312,1,No,12,3,4,1,40,3,2,40,10,15,6
127,19,Yes,Travel_Rarely,22,1,167,Male,3,1,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0
128,22,No,Travel_Rarely,2,1,169,Male,3,1,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1
129,49,No,Travel_Rarely,20,4,170,Female,3,2,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11
130,43,No,Travel_Frequently,28,3,171,Female,4,1,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2
131,50,No,Travel_Frequently,12,3,174,Female,3,3,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1
132,31,Yes,Travel_Rarely,20,3,175,Female,1,2,3,Married,4559,3,Yes,11,3,3,1,4,2,3,2,2,2,2
133,41,No,Travel_Rarely,9,1,176,Male,3,3,3,Divorced,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7
134,26,No,Travel_Rarely,25,1,177,Female,3,1,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7
135,36,No,Travel_Rarely,6,2,178,Male,3,2,2,Divorced,4941,6,No,20,4,4,2,7,0,3,3,2,0,1
136,51,Yes,Travel_Frequently,8,4,179,Male,1,3,4,Single,10650,2,No,15,3,4,0,18,2,3,4,2,0,3
137,39,No,Travel_Rarely,4,4,182,Female,2,2,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9
138,25,No,Travel_Rarely,28,3,183,Male,2,2,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2
139,30,No,Travel_Rarely,9,3,184,Male,3,2,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7
140,32,Yes,Travel_Rarely,9,3,190,Female,3,1,1,Single,4200,7,No,22,4,1,0,10,2,4,5,4,0,4
141,45,No,Travel_Rarely,29,3,192,Male,3,1,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3
142,38,No,Travel_Rarely,3,5,193,Female,3,2,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2
143,30,No,Travel_Rarely,18,3,194,Female,3,1,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4
144,32,No,Travel_Frequently,9,2,195,Male,1,2,4,Divorced,4668,0,No,17,3,4,3,9,2,4,8,7,0,7
145,30,No,Travel_Rarely,5,3,197,Female,3,1,1,Divorced,3204,5,No,14,3,4,1,8,3,3,3,2,2,2
146,30,No,Travel_Rarely,2,1,198,Male,2,1,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2
147,41,No,Travel_Frequently,10,3,199,Male,2,4,1,Divorced,17181,4,No,13,3,2,1,21,2,2,7,6,7,7
148,41,No,Travel_Rarely,9,4,200,Male,3,1,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4
149,19,No,Travel_Rarely,3,1,201,Female,3,1,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0
150,40,No,Travel_Frequently,26,3,202,Female,3,2,2,Divorced,5605,1,No,11,3,1,1,20,2,3,20,7,2,13
151,35,No,Travel_Rarely,1,5,204,Male,3,3,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6
152,53,No,Travel_Rarely,6,2,205,Male,3,2,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5
153,45,No,Travel_Rarely,9,3,206,Male,3,2,2,Divorced,2348,8,No,18,3,3,1,20,2,1,17,9,0,15
154,32,No,Travel_Frequently,8,3,207,Female,3,3,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7
155,29,No,Non-Travel,1,1,208,Male,3,2,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9
156,51,No,Travel_Rarely,7,4,211,Male,2,2,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0
157,58,No,Travel_Rarely,9,3,214,Female,2,1,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0
158,40,No,Travel_Rarely,4,4,215,Male,2,3,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11
159,34,No,Travel_Frequently,2,4,216,Female,3,1,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2
160,22,No,Travel_Rarely,19,1,217,Male,3,1,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2
161,27,No,Non-Travel,9,3,218,Male,3,1,2,Divorced,2024,6,No,18,3,4,1,6,1,1,2,2,2,2
162,28,No,Travel_Rarely,21,3,221,Male,3,1,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2
163,57,No,Travel_Rarely,24,2,223,Male,4,3,4,Divorced,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4
164,27,No,Non-Travel,3,3,224,Male,2,1,3,Divorced,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1
165,50,No,Travel_Rarely,11,3,226,Female,3,5,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4
166,41,No,Travel_Rarely,14,3,227,Male,3,1,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8
167,30,No,Travel_Rarely,5,3,228,Female,3,3,4,Married,9419,2,No,12,3,3,1,12,2,3,10,9,7,4
168,38,No,Travel_Rarely,1,4,230,Female,2,2,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7
169,32,No,Travel_Rarely,6,5,231,Male,3,1,3,Single,3038,3,No,20,4,1,0,8,2,3,5,4,1,4
170,27,No,Travel_Rarely,17,3,233,Male,3,1,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1
171,19,Yes,Travel_Frequently,1,1,235,Female,1,1,1,Single,2325,0,No,21,4,1,0,1,5,4,0,0,0,0
172,36,No,Travel_Frequently,3,2,238,Male,3,1,2,Single,2088,4,No,12,3,3,0,13,3,2,8,7,7,2
173,30,No,Non-Travel,9,3,239,Male,3,2,1,Divorced,3072,1,No,11,3,3,2,12,4,3,12,9,6,10
174,45,No,Travel_Rarely,4,2,240,Female,3,2,1,Divorced,5006,4,Yes,11,3,1,1,9,3,4,5,4,0,3
175,56,No,Travel_Rarely,8,3,241,Female,3,1,1,Divorced,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2
176,33,No,Travel_Rarely,2,3,242,Male,3,1,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2
177,19,Yes,Travel_Rarely,2,3,243,Male,2,1,4,Single,1102,1,No,22,4,3,0,1,3,2,1,0,1,0
178,46,No,Travel_Rarely,1,2,244,Female,3,3,1,Divorced,10453,1,No,25,4,3,3,24,2,3,24,13,15,7
179,38,No,Travel_Rarely,9,2,245,Female,3,1,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1
180,31,No,Travel_Rarely,12,1,246,Female,3,1,4,Married,3929,8,Yes,23,4,3,1,7,0,3,4,2,0,2
181,34,No,Travel_Rarely,27,2,247,Female,3,1,2,Single,2311,2,No,15,3,4,0,9,3,3,3,2,1,2
182,41,Yes,Travel_Rarely,20,2,248,Female,3,1,2,Single,3140,1,Yes,22,4,4,0,4,5,2,4,3,0,2
183,50,No,Travel_Rarely,1,3,249,Male,2,1,3,Married,3690,2,No,15,3,4,1,5,2,2,3,2,0,2
184,53,No,Travel_Rarely,13,2,250,Female,4,2,1,Divorced,4450,1,No,11,3,3,2,5,3,3,4,2,1,3
185,33,No,Travel_Rarely,14,3,252,Female,3,1,2,Married,2756,1,No,13,3,4,1,8,5,3,8,7,1,6
186,40,No,Travel_Rarely,4,1,253,Female,3,5,3,Married,19033,1,No,14,3,2,1,21,2,3,20,8,9,9
187,55,No,Travel_Rarely,14,4,254,Male,4,5,2,Single,18722,8,No,11,3,4,0,36,3,3,24,15,2,15
188,34,No,Travel_Frequently,2,1,256,Male,2,2,3,Married,9547,1,No,17,3,3,0,10,2,2,10,9,1,9
189,51,No,Travel_Rarely,3,3,258,Female,3,4,2,Single,13734,3,No,18,3,3,0,21,6,3,7,7,1,0
190,52,No,Travel_Rarely,1,4,259,Male,2,5,3,Married,19999,0,No,14,3,1,1,34,5,3,33,18,11,9
191,27,No,Travel_Rarely,9,3,260,Female,3,1,2,Single,2279,1,No,16,3,4,0,7,2,2,7,7,0,3
192,35,Yes,Travel_Rarely,23,2,261,Male,2,2,3,Married,5916,3,Yes,13,3,1,0,8,1,3,1,0,0,1
193,43,No,Non-Travel,7,3,262,Male,4,1,4,Divorced,2089,4,No,14,3,4,3,7,3,4,5,4,2,2
194,45,No,Non-Travel,2,2,264,Male,2,4,4,Married,16792,9,No,23,4,4,1,22,1,3,20,8,11,8
195,37,No,Travel_Rarely,21,3,267,Male,4,1,1,Married,3564,1,Yes,12,3,1,1,8,3,2,8,7,1,7
196,35,No,Travel_Frequently,2,3,269,Female,3,2,2,Single,4425,5,No,11,3,4,0,10,5,3,6,2,1,2
197,42,No,Non-Travel,21,2,270,Female,3,2,3,Divorced,5265,2,No,16,3,2,1,11,5,3,5,3,0,2
198,38,No,Travel_Rarely,2,4,271,Male,3,2,3,Married,6553,9,No,14,3,2,0,14,3,3,1,0,0,0
199,38,No,Travel_Rarely,29,3,273,Male,3,2,4,Married,6261,3,No,18,3,1,1,9,3,1,7,7,1,7
200,27,No,Travel_Frequently,1,1,274,Male,2,2,1,Married,4298,5,No,19,3,3,1,6,1,3,2,2,2,0
201,49,No,Non-Travel,18,4,275,Male,3,2,4,Divorced,6804,1,Yes,15,3,1,2,7,0,3,7,7,1,7
202,34,No,Travel_Frequently,10,4,277,Male,3,1,3,Divorced,3815,1,Yes,17,3,4,1,5,4,4,5,3,2,0
203,40,No,Travel_Rarely,19,2,281,Male,3,2,4,Married,2741,8,Yes,15,3,3,1,15,2,4,7,2,3,7
204,38,Yes,Travel_Rarely,29,1,282,Male,3,2,1,Married,6673,7,Yes,19,3,2,0,17,2,3,1,0,0,0
205,29,Yes,Travel_Rarely,27,3,283,Female,3,3,4,Married,7639,1,No,22,4,4,3,10,3,2,10,4,1,9
206,22,No,Travel_Rarely,5,3,284,Male,4,1,2,Divorced,2328,1,Yes,16,3,1,1,4,2,2,4,2,2,2
207,36,No,Travel_Frequently,18,1,286,Female,3,1,4,Single,2153,1,No,13,3,1,0,8,2,3,8,1,1,7
208,40,No,Non-Travel,9,5,287,Male,2,2,4,Married,4876,9,No,14,3,4,1,5,5,1,3,2,0,2
209,46,No,Travel_Rarely,1,4,288,Male,3,3,1,Divorced,9396,7,No,16,3,3,1,17,3,3,4,2,0,3
210,32,Yes,Travel_Rarely,4,4,291,Male,1,3,4,Married,10400,1,No,11,3,3,0,14,2,2,14,8,9,8
211,30,No,Non-Travel,1,1,292,Male,2,3,3,Single,8474,1,No,22,4,3,0,12,2,3,11,8,5,8
212,27,No,Travel_Frequently,20,3,293,Female,3,2,3,Single,9981,1,No,14,3,4,0,7,2,3,7,7,0,7
